Keyword,Category
PEPCO,Utility Expenses
DC WATER,Utility Expenses
WASHINGTON GAS,Utility Expenses
RCN,Utility Expenses
HOME DEPOT,Repairs and Maintenance
LOWES,Repairs and Maintenance
HARDWARE,Repairs and Maintenance
D&G,Repairs and Maintenance
UBER,General and Administrative
PARK,General and Administrative
FEDEX,General and Administrative
SAFEWAY,General and Administrative
WENDYS,General and Administrative
NAME-CHEAP,General and Administrative
MICROSOFT,General and Administrative
LEDO,General and Administrative
HCVP,Rental Revenue
FRSP,Rental Revenue
RENT,Rental Revenue
PAYMENT - THANK YOU,Credit Card Payment
DC-OTR,Tax Expenses
TREASURY,Tax Expenses
LRSP 2 WELLS FARGO BANK,Rental Revenue
LRSP DISTRICT OF COLU,Rental Revenue
ROYAL FARMS ,General and Administrative
EXXONMOBIL,General and Administrative
LOWE'S HOME IMPROVEMENT,Repairs and Maintenance
CLAUDE BY ANTH855-836-3987,General and Administrative
MILLERS CAPITAL INS800-745-4555,General and Administrative
BEST BUY,General and Administrative
GOOGLE CLAUDE BY ANTH650-,General and Administrative
WELLS FARGO,Rental Revenue
CORP PAY HOUSING COUNSELI,Rental Revenue
FRANCO  BBT299271932 ZELLE BUSINESS PAYMENT TO,Repairs and Maintenance
OVERDRAFT FEE,Bank Fees
OVERDRAFT FEE REFUND,Bank Fees
PAYABLES CCDCERAP,Rental Revenue
REDEMPTION CASHREWARDS CARD 3399ACH CREDIT,General and Administrative
TRANSFER PAYPAL,General and Administrative
EXXON SUN,General and Administrative
CIRTRUCIRTRU.COM DE US,General and Administrative
TRASH GUY  BBT341794724 ZELLE BUSINESS PAYMENT TO,Repairs and Maintenance
DEPARTMENT MOTOR VEHICLES,General and Administrative
THE SHERWIN-WILLIAMS COMP800- OH US,Repairs and Maintenance
LRSP,Rental Revenue
SUNOCO,General and Administrative
MCDONALD'S,General and Administrative
PAYPAL *ABILITY REF480-474-4151 AZ US,General and Administrative
EXXON,General and Administrative
WWW.1099ONLINE.COM1099ONLINE.CO AR US,General and Administrative
WAL-MART,Repairs and Maintenance
APPLIANCE PARTS DRPARTSDR.COM SD US,Repairs and Maintenance
LATE PAYMENT FEE,Bank Fees
PURCHASE *FINANCE CHARGE*,Bank Fees
INTEREST CHARGE ADJUSTMENT,Bank Fees
FOREIGN TRANSACTION FEE,Bank Fees
CORPORATE FILINGS LLC888- WY US,Tax Expenses
ABILITY REFRIGERANTS480-474-4151 AZ US,Repairs and Maintenance
BT *SENVILLE AC1-800- DE US,Repairs and Maintenance
SHERWIN-WILLIAMS,Repairs and Maintenance
WWW.ECCOTEMP.COMWWW.ECCOTEMP. SC US,Repairs and Maintenance
THE SHERWIN-WILLIAMS COMPCLEVELAND OH US,Repairs and Maintenance
THE UPS STORE,General and Administrative
HOMEDEPOT.COM800-430-3376 GA US,Repairs and Maintenance
GOOGLE *GOOGLE FI855-836-3987 CA US,General and Administrative
SHELL OIL,General and Administrative
GE APPLIANCES800-626-2005 KY US,Repairs and Maintenance
PAYPAL *PADDLE.NET35314369001 GB,General and Administrative
MOBILE DEPOSIT,Tax Expenses
PAYPAL *EBAY US786-762-515 CA US,Repairs and Maintenance
GOOGLE *GOOGLE ONE855-836-3987 CA US,General and Administrative
EARMARKWWW.EARMARKCP AZ US,General and Administrative
DEVON HANDYMAN,Repairs and Maintenance
FRANCO,Repairs and Maintenance
GE APPLIANCESGEAPPLIANCES. KY US,Repairs and Maintenance
TRASH GUY,Repairs and Maintenance
